Aditya Tare, Career,27,299,17.58,137.15,218,batsman
Aditya Tare,2014,15,126,15.75,128.57,98,batsman
Aditya Tare,2013,5,123,24.6,146.42,84,batsman
Aditya Tare,2010,7,50,12.5,138.88,36,batsman
Ambati Rayudu,Career,81,1710,26.71,125.18,1366,batsman
Ambati Rayudu,2014,15,361,25.78,125.78,287,batsman
Ambati Rayudu,2013,19,265,18.92,114.71,231,batsman
Ambati Rayudu,2012,17,333,37,132.14,252,batsman
Ambati Rayudu,2011,16,395,28.21,112.85,350,batsman
Ambati Rayudu,2010,14,356,27.38,144.71,246,batsman
Keiron Pollard,Career,77,1332,27.18,144.31,923,batsman
Keiron Pollard,2014,15,273,34.12,134.48,203,batsman
Keiron Pollard,2013,18,420,42,149.46,281,batsman
Keiron Pollard,2012,14,220,24.44,138.36,159,batsman
Keiron Pollard,2011,16,146,14.6,109.77,133,batsman
Keiron Pollard,2010,14,273,22.75,185.71,147,batsman
Rohit Sharma,Career,112,2903,32.25,129.59,2240,batsman
Lendl Simmons,Career,8,394,56.28,135.39,291,batsman
Lendl Simmons,2014,8,394,56.28,135.39,291,batsman
Corey Anderson,Career,12,265,29.44,146.4,181,batsman
Corey Anderson,2014,12,265,29.44,146.4,181,batsman
Harbhajan Singh,Career,96,2037,92,24.79,6.71,bowler
Harbhajan Singh,2014,14,330,14,25.42,6.47,bowler
Harbhajan Singh,2013,19,420,24,19,6.51,bowler
Harbhajan Singh,2012,17,324,6,64,7.11,bowler
Lasith Malinga,Career,83,1929,119,17.66,6.53,bowler
Lasith Malinga,2014,10,235,16,15.81,6.45,bowler
Lasith Malinga,2013,17,392,20,23.4,7.16,bowler
Lasith Malinga,2012,14,333,22,15.9,6.3,bowler
Jasprit Bumrah,Career,13,280,8,46.37,7.95,bowler
Jasprit Bumrah,2014,11,238,5,60.2,7.58,bowler
Jasprit Bumrah,2013,2,42,3,23.33,10,bowler
Shreyas Gopal,Career,4,84,6,18.83,8.07,bowler
Shreyas Gopal,2014,4,84,6,18.83,8.07,bowler
Marchant De Lange,Career,4,84,5,27.8,9.92,bowler
Marchant De Lange,2014,1,24,2,16,8,bowler
Marchant De Lange,2012,3,60,3,35.66,10.7,bowler
Pawan Suyal,Career,3,54,2,39,8.66,bowler
Pawan Suyal,2015,1,18,0,-,7.33,bowler
Pawan Suyal,2014,1,18,1,35,11.66,bowler
Pawan Suyal,2013,1,18,1,21,7,bowler
